OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFAParking,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),Electricity(kWh),NaturalGas(therms),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2)
19742,2017,NonResidential,Restaurant,El Gaucho Restaurant,2505 1st Ave,98121.0,7.0,DOWNTOWN,47.61468,-122.34925,1955,2,1.0,31020,0,0.0,,135.8,135.8,226.4,226.4,4211884,4213096,0,1244214,364658,29676,2967669,162.76,5.247
19743,2017,NonResidential,Small- and Mid-Sized Office,THE MILLIONAIR CLUB,2507 WESTERN AVE,98121.0,7.0,DOWNTOWN,47.61402,-122.35016,1917,2,1.0,21600,0,0.0,,63.0,63.0,178.9,178.9,1360476,1360476,0,1165104,341472,1953,195372,15.2,0.704
19746,2017,NonResidential,Other,ARTECH,2609 1st Avenue,98121.0,7.0,DOWNTOWN,47.6153,-122.35014,1946,1,1.0,23000,0,0.0,,39.6,37.4,74.0,71.7,910018,859872,0,356963,104619,5530,553055,30.85,1.341
19747,2017,NonResidential,Small- and Mid-Sized Office,First and Cedar Building,2701 1st Ave,98121.0,7.0,DOWNTOWN,47.6158,-122.35126,1974,5,1.0,61825,13320,0.0,52.0,117.1,116.7,228.9,228.4,4864752,4846108,0,2105509,617089,27592,2759242,155.25,2.511
19748,2017,Multifamily HR (10+),High-Rise Multifamily,Olympus Towers,2801 Western Ave.,98121.0,7.0,DOWNTOWN,47.61503,-122.35378,2001,16,1.0,590869,0,0.0,96.0,36.8,36.3,85.1,83.4,15061449,14849781,0,9088767,2663765,59726,5972680,354.81,0.6
19749,2017,Multifamily MR (5-9),Mid-Rise Multifamily,WA014_AVA Belltown,2800 Western Avenue,98121.0,7.0,DOWNTOWN,47.61612,-122.35268,2001,7,1.0,145275,0,0.0,59.0,28.1,27.6,88.1,86.8,2891829,2847477,0,2891829,847546,0,0,11.96,0.082
19750,2017,NonResidential,Small- and Mid-Sized Office,Seattle Labor Temple Association,2800 1st Avenue  Room 140,98121.0,7.0,DOWNTOWN,47.61683,-122.35176,1942,3,1.0,64630,0,0.0,96.0,22.3,22.3,70.1,70.1,1443446,1443446,0,1443446,423049,0,0,5.97,0.092
19752,2017,NonResidential,Worship Facility,Belltown,2700 1st Ave,98121.0,7.0,DOWNTOWN,47.61636,-122.35094,1948,2,1.0,20920,0,0.0,9.0,68.2,65.6,102.7,100.0,1425768,1372822,0,311190,91204,11145,1114578,60.48,2.891
19754,2017,Multifamily MR (5-9),Mid-Rise Multifamily,Humphrey House Apts,111 Cedar,98109.0,7.0,DOWNTOWN,47.61612,-122.34973,2009,7,1.0,40329,0,0.0,,99.0,98.5,174.8,174.3,3902630,3884903,0,1336651,391750,25659,2565978,141.81,3.516
19755,2017,NonResidential,Small- and Mid-Sized Office,"2607 Building, LLC",2607 2nd Avenue,98121.0,7.0,DOWNTOWN,47.61588,-122.34965,1925,3,1.0,20565,0,0.0,65.0,40.7,40.0,128.0,125.5,837996,821764,0,837996,245602,0,0,3.47,0.169
