OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFAParking,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),Electricity(kWh),NaturalGas(therms),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2)
49775,2016,NonResidential,Supermarket / Grocery Store,SAFEWAY 2932,2622 CALIFORNIA AVE SW,98116.0,1,SOUTHWEST,47.57984,-122.38577,2011,1,1.0,67263,0,,78.0,218.5,226.1000061,517.5,525.5999756,14697487,15210667,0.0,9272449,2717599.5,54250.36328,5425036,352.77,5.24
49776,2016,NonResidential,Large Office,Market Place Tower,2025 1st Avenue,98121.0,7,DOWNTOWN,47.61156,-122.34401,1988,13,1.0,354086,149326,201620092008,88.0,56.70000076,59.29999924,167.6999969,174.3999939,13458948,14070366,0.0,12288296,3601493.5,11706.50879,1170651,147.84,0.42
49777,2016,Multifamily MR (5-9),Mid-Rise Multifamily,H2O Apartments,201 W. Harrison St.,98119.0,7,MAGNOLIA / QUEEN ANNE,47.62194,-122.35972,2013,6,1.0,21762,0,,96.0,36.20000076,37.59999847,88.30000305,91.90000153,1093757,1135424,0.0,727174,213122.4063,3665.840088,366584,24.54,1.13
49778,2016,NonResidential,Worship Facility,Center for Spiritual Living,5801 SAND POINT WAY NE,98105.0,4,NORTHEAST,47.6709,-122.27054,2008,2,1.0,70292,0,,37.0,27.5,30.5,58.0,61.09999847,1933811,2145036,0.0,977731,286556.6875,9560.799805,956080,57.59,0.82
49779,2016,Multifamily MR (5-9),Mid-Rise Multifamily,Ernestine Anderson Place,2010 S Jackson Street,98144.0,3,CENTRAL,47.59946,-122.30561,2013,6,0.0,38407,0,,50.0,32.59999847,34.5,102.4000015,108.1999969,1427482,1509575,0.0,1427482,418371.1875,0.0,0,9.95,0.26
49780,2016,NonResidential,Other,2020 Fifth Avenue Dat Center,2020 Fifth Avenue,98121.0,7,DOWNTOWN,47.61449,-122.33956,1975,7,1.0,90679,35120,,100.0,694.7000122,694.7000122,2181.300049,2181.300049,41680640,41680640,0.0,41680634,12215895.0,0.0,0,290.57,3.2
49781,2016,Multifamily MR (5-9),Mid-Rise Multifamily,Nyer-Urness House,1753 NW 56th St,98107.0,6,BALLARD,47.66925,-122.38115,2013,7,1.0,51287,0,,,53.0,54.79999924,121.0,122.9000015,2665558,2756073,0.0,1573248,461092.5938,10923.10156,1092310,68.98,1.34
49783,2016,NonResidential,Laboratory,UW Medicine Phase 3.1,750 Republican Street,98109.0,7,LAKE UNION,47.62351,-122.34135,2013,8,0.0,339591,114010,,,240.8999939,248.1999969,547.7000122,550.0999756,41696464,42959812,0.0,24410204,7154221.5,172862.5625,17286256,1088.25,3.2
49784,2016,NonResidential,Small- and Mid-Sized Office,Bullitt Center,1501 E. Madison St.,98122.0,3,CENTRAL,47.61432,-122.31257,2013,6,1.0,52000,0,,100.0,7.099999905,5.0,2.0,-2.099999905,342726,240132,0.0,-115417,-33826.80078,0.0,0,-0.8,-0.02
49785,2016,Multifamily MR (5-9),Mid-Rise Multifamily,Kavela Apartments,845 NE 66th St,98115.0,4,NORTHEAST,47.6763,-122.31756,2013,6,1.0,84577,0,,90.0,48.40000153,50.29999924,111.4000015,113.5,1883200,1959221,0.0,1128947,330875.3125,7542.540039,754254,47.93,0.57
49786,2016,Multifamily MR (5-9),Mid-Rise Multifamily,206 Bell,206 Bell Street,98121.0,7,DOWNTOWN,47.61441,-122.3457,2013,8,1.0,53708,0,2016,27.0,65.90000153,68.19999695,149.8000031,155.3999939,6182350,6400496,0.0,3622076,1061569.75,25602.74023,2560274,161.23,3.0
49787,2016,Multifamily LR (1-4),Low-Rise Multifamily,Trimark-Rev Fremont,317 Northwest 41st Street,98107.0,6,Ballard,47.65671,-122.36174,2013,4,1.0,56184,0,,90.0,31.10000038,31.89999962,78.80000305,80.69999695,1137504,1164848,0.0,807792,236750.2031,3297.129883,329713,23.14,0.41
49788,2016,Multifamily MR (5-9),Mid-Rise Multifamily,The Alder Flats,220 10th Ave,98122.0,3,EAST,47.6042,-122.31918,2013,6,1.0,31981,0,,100.0,27.10000038,27.89999962,85.09999847,87.59999847,866825,892695,0.0,866825,254052.0,0.0,0,6.04,0.19
49789,2016,Multifamily HR (10+),High-Rise Multifamily,The Martin,2105 5th Avenue,98121.0,7,DOWNTOWN,47.61447,-122.34101,2013,24,1.0,295754,0,,55.0,40.90000153,42.59999847,95.0,97.5,10055690,10475740,0.0,6125547,1795295.25,39301.41797,3930142,251.43,0.85
49790,2016,Multifamily MR (5-9),Mid-Rise Multifamily,The Local 418,418 Bellevue Ave E,98102.0,3,EAST,47.62265,-122.32616,2013,6,1.0,24457,0,,100.0,27.89999962,28.60000038,66.59999847,68.5,1048781,1075506,0.0,671986,196947.7969,3767.949707,376795,24.7,1.01
49791,2016,Multifamily MR (5-9),Mid-Rise Multifamily,Vox,1527 15th Avenue,98122.0,3,EAST,47.61506,-122.31315,2013,6,1.0,51424,0,,99.0,24.10000038,24.60000038,74.69999695,76.19999695,1240924,1265137,0.0,1214710,356011.0,262.1499939,26215,9.86,0.19
49858,2016,NonResidential,K-12 School,The Northwest School 401,401 Pike,98122.0,3,EAST,47.61386,-122.32647,2014,2,1.0,35780,0,,22.0,76.59999847,78.0,203.3999939,204.6999969,2912264,2962615,0.0,2234214,654810.625,6780.5,678050,51.59,1.44
49792,2016,Multifamily MR (5-9),Mid-Rise Multifamily,LEILANI ON GREENWOOD,10215 Greenwood Ave. N,98133.0,6,NORTHWEST,47.70314,-122.35604,2013,5,3.0,198202,0,,100.0,32.40000153,33.5,71.40000153,73.59999847,6413181,6631734,0.0,3548501,1040006.188,28646.80078,2864680,176.88,0.89
49793,2016,NonResidential,Large Office,Interbay Worklofts,1631 15th Ave W.,98119.0,7,MAGNOLIA / QUEEN ANNE,47.63449,-122.37661,2013,3,1.0,105061,28217,,100.0,16.29999924,17.0,51.20000076,53.40000153,1363191,1420513,0.0,1363192,399528.5938,0.0,0,9.5,0.09
